country,capital,currency,language,continent
Gabon,Libreville,Central African CFA franc (XAF),French,Africa
Gambia,Banjul,Gambian dalasi (GMD),English,Africa
Ghana,Accra,Ghana cedi (GHS),English,Africa
Guinea,Conakry,Guinean franc(GNF),French,Africa
Guinea-Bissau,Bissau,Eco,Portuguese,Africa
Kenya,Nairobi,Kenyan shilling(KES),"Swahili, English",Africa
Lesotho,Maseru,Lesotho loti(LSL),"English, Sesotho",Africa
Liberia,Monrovia,Liberian dollara(LRD),English,Africa
Libya,Tripoli,Libyan dinar (LYD),Arabic,Africa
Madagascar,Antananarivo,Malagasy ariary(MGA),"Malagasy, French",Africa
Malawi,Lilongwe,Kwacha(D) (MWK),"English, Chichewa",Africa
Mali,Bamako,Eco,French,Africa
Mauritania,Nouakchott,Ouguiya(MRO),Arabic,Africa
Mauritius,Port Louis,Mauritian rupee(MUR),"Mauritian Creole, French, English",Africa
Mayotte,"Mamoudzou,Overseas department of France",Euro(EUR),French,Africa
Morocco,Rabat,Moroccan dirham(MAD),"Arabic, Berber",Africa
Mozambique,Maputo,Mozambican metical(MZN),Portuguese,Africa
Namibia,Windhoek,Namibian dollar(NAD),English,Africa
Niger,Niamey,Eco,French,Africa
Nigeria,Abuja,Naira (NGN),English,Africa
Réunion,Saint-Denis,Euro,French,Africa
Rwanda,Kigali,Rwandan franc(RWF),"Kinyarwanda, English,, French",Africa
"Saint Helena, Ascension and Tristan da Cunha","Jamestown (Saint Helena),, Georgetown (Ascension Island),, Edinburgh of the Seven Seas (Tristan da Cunha)","Saint Helena pound,Pound sterling",English,Africa
Sao Tome and Principe,São Tomé,Dobra(STD),Portuguese,Africa
Senegal,Dakar,Eco,French,Africa
Seychelles,Victoria,Seychellois rupee(SCR),"Seychellois Creole,, French, English",Africa
Sierra Leone,Freetown,Leone(SLL),English,Africa
Somalia,Mogadishu,Somali shilling(SOS),"Somali, Arabic",Africa
Somaliland,Hargeisa,Somaliland shillinga (SLSH),"Somali, Arabic",Africa
South Africa,"Pretoria (administrative/executive),, Cape Town (legislative),, Bloemfontein (judicial)",South African rand(ZAR),"Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swati, Tsonga, Tswana, Venda, Xhosa, Zulu",Africa
South Sudan,Juba,South Sudanese pound(SSP),English,Africa
Sudan,Khartoum,Sudanese pound(SDG),"Arabic, English",Africa
Swaziland,"Mbabane (administrative),, Lobamba (royal and legislative)",South African rand Swazi lilangeni (SZL),"English,, Swati",Africa
Tanzania,"Dodoma (official),, Dar es Salaam (seat of government)",Tanzanian shilling(TZS),"Swahili, English",Africa
Togo,Lome,Eco,French,Africa
Tunisia,Tunis,Tunisian dinar(TND),Arabic,Africa
Uganda,Kampala,Ugandan shilling(UGX),"Swahili, English, Luganda",Africa
Zambia,Lusaka,Zambian kwacha(ZMW),English,Africa
Zimbabwe,Harare,"United States Dollar, RTGS dollar","English, Shona, Sindebele",Africa
